# ASIC configuration for the measurements:
# ------------------------------------------------------------------------------
# Mode = 010 
# Bias = 0101 
# CSArefs = 1011 
# Shaper = 100 
# Leakage mask = 00000000000000000000000000000000 
# Discr. enable mask = 00000000000000000000000000000001 
# Calibration mask = 00000000000000000000000000000001 
# Threshold = 200 
# FineTHR[0] = 011 
# FineTHR[1] = 011 
# FineTHR[2] = 011 
# FineTHR[3] = 011 
# FineTHR[4] = 011 
# FineTHR[5] = 011 
# FineTHR[6] = 011 
# FineTHR[7] = 011 
# FineTHR[8] = 011 
# FineTHR[9] = 011 
# FineTHR[10] = 011 
# FineTHR[11] = 011 
# FineTHR[12] = 011 
# FineTHR[13] = 011 
# FineTHR[14] = 011 
# FineTHR[15] = 011 
# FineTHR[16] = 011 
# FineTHR[17] = 011 
# FineTHR[18] = 011 
# FineTHR[19] = 011 
# FineTHR[20] = 011 
# FineTHR[21] = 011 
# FineTHR[22] = 011 
# FineTHR[23] = 011 
# FineTHR[24] = 011 
# FineTHR[25] = 011 
# FineTHR[26] = 011 
# FineTHR[27] = 011 
# FineTHR[28] = 011 
# FineTHR[29] = 011 
# FineTHR[30] = 011 
# FineTHR[31] = 011 
# ------------------------------------------------------------------------------
# Event data block #1
# Delay	DAC	Type	CH#	Value
ST	1000	11	0	0
ST	1000	10	0	690
ST	1000	10	0	686
ST	1000	10	0	269
ST	1000	10	0	690
ST	1000	10	0	698
ST	1000	10	0	695
ST	1000	10	0	687
ST	1000	10	0	681
ST	1000	10	0	698
ST	1000	10	0	677
ST	1000	10	0	692
ST	1000	10	0	685
ST	1000	10	0	692
ST	1000	10	0	696
ST	1000	10	0	676
ST	1000	10	0	698
ST	1000	10	0	692
ST	1000	10	0	705
ST	1000	10	0	679
ST	1000	10	0	692
ST	1000	10	0	703
ST	1000	10	0	693
ST	1000	10	0	690
ST	1000	10	0	682
ST	1000	10	0	690
ST	1000	10	0	698
ST	1000	10	0	689
ST	1000	10	0	693
ST	1000	10	0	698
ST	1000	10	0	693
ST	1000	10	0	699
ST	1000	10	0	683
ST	1000	10	0	690
ST	1000	10	0	684
ST	1000	10	0	687
ST	1000	10	0	692
ST	1000	10	0	691
ST	1000	10	0	695
ST	1000	10	0	676
ST	1000	10	0	690
ST	1000	10	0	684
ST	1000	10	0	692
ST	1000	10	0	694
ST	1000	10	0	682
ST	1000	10	0	688
ST	1000	10	0	690
ST	1000	10	0	690
ST	1000	10	0	694
ST	1000	10	0	698
ST	1000	10	0	689
ST	1000	10	0	704
ST	1000	10	0	690
ST	1000	10	0	690
ST	1000	10	0	698
ST	1000	10	0	693
ST	1000	10	0	685
ST	1000	10	0	689
ST	1000	10	0	690
ST	1000	10	0	690
ST	1000	10	0	689
ST	1000	10	0	683
ST	1000	10	0	694
ST	1000	10	0	692
ST	1000	10	0	689
ST	1000	10	0	683
ST	1000	10	0	693
ST	1000	10	0	695
ST	1000	10	0	690
ST	1000	10	0	690
ST	1000	10	0	696
ST	1000	10	0	693
ST	1000	10	0	703
ST	1000	10	0	690
ST	1000	10	0	691
ST	1000	10	0	708
ST	1000	10	0	685
ST	1000	10	0	684
ST	1000	10	0	689
ST	1000	10	0	698
ST	1000	10	0	690
ST	1000	10	0	690
ST	1000	10	0	692
ST	1000	10	0	692
ST	1000	10	0	690
ST	1000	10	0	683
ST	1000	10	0	690
ST	1000	10	0	693
ST	1000	10	0	708
ST	1000	10	0	692
ST	1000	10	0	684
ST	1000	10	0	690
ST	1000	10	0	695
ST	1000	10	0	686
ST	1000	10	0	689
ST	1000	10	0	696
ST	1000	10	0	693
ST	1000	10	0	691
ST	1000	10	0	680
ST	1000	10	0	690
