# ASIC configuration for the measurements:
# ------------------------------------------------------------------------------
# Mode = 010 
# Bias = 0101 
# CSArefs = 1011 
# Shaper = 100 
# Leakage mask = 00000000000000000000000000000000 
# Discr. enable mask = 00000000000000000000000000010000 
# Calibration mask = 00000000000000000000000000010000 
# Threshold = 200 
# FineTHR[0] = 011 
# FineTHR[1] = 011 
# FineTHR[2] = 011 
# FineTHR[3] = 011 
# FineTHR[4] = 011 
# FineTHR[5] = 011 
# FineTHR[6] = 011 
# FineTHR[7] = 011 
# FineTHR[8] = 011 
# FineTHR[9] = 011 
# FineTHR[10] = 011 
# FineTHR[11] = 011 
# FineTHR[12] = 011 
# FineTHR[13] = 011 
# FineTHR[14] = 011 
# FineTHR[15] = 011 
# FineTHR[16] = 011 
# FineTHR[17] = 011 
# FineTHR[18] = 011 
# FineTHR[19] = 011 
# FineTHR[20] = 011 
# FineTHR[21] = 011 
# FineTHR[22] = 011 
# FineTHR[23] = 011 
# FineTHR[24] = 011 
# FineTHR[25] = 011 
# FineTHR[26] = 011 
# FineTHR[27] = 011 
# FineTHR[28] = 011 
# FineTHR[29] = 011 
# FineTHR[30] = 011 
# FineTHR[31] = 011 
# ------------------------------------------------------------------------------
# Event data block #1
# Delay	DAC	Type	CH#	Value
ST	1000	10	4	659
ST	1000	10	4	655
ST	1000	10	4	654
ST	1000	10	4	657
ST	1000	10	4	645
ST	1000	10	4	658
ST	1000	10	4	646
ST	1000	10	4	645
ST	1000	10	4	648
ST	1000	10	4	641
ST	1000	10	4	661
ST	1000	10	4	650
ST	1000	10	4	655
ST	1000	10	4	637
ST	1000	10	4	642
ST	1000	10	4	658
ST	1000	10	4	656
ST	1000	10	4	657
ST	1000	10	4	646
ST	1000	10	4	654
ST	1000	10	4	644
ST	1000	10	4	654
ST	1000	10	4	662
ST	1000	10	4	659
ST	1000	10	4	648
ST	1000	10	4	641
ST	1000	10	4	657
ST	1000	10	4	667
ST	1000	10	4	661
ST	1000	10	4	654
ST	1000	10	4	657
ST	1000	10	4	651
ST	1000	10	4	665
ST	1000	10	4	657
ST	1000	10	4	651
ST	1000	10	4	645
ST	1000	10	4	654
ST	1000	10	4	654
ST	1000	10	4	654
ST	1000	10	4	653
ST	1000	10	4	638
ST	1000	10	4	650
ST	1000	10	4	653
ST	1000	10	4	648
ST	1000	10	4	642
ST	1000	10	4	639
ST	1000	10	4	662
ST	1000	10	4	649
ST	1000	10	4	670
ST	1000	10	4	649
ST	1000	10	4	645
ST	1000	10	4	661
ST	1000	10	4	653
ST	1000	10	4	642
ST	1000	10	4	657
ST	1000	10	4	661
ST	1000	10	4	651
ST	1000	10	4	646
ST	1000	10	4	661
ST	1000	10	4	654
ST	1000	10	4	646
ST	1000	10	4	651
ST	1000	10	4	652
ST	1000	10	4	663
ST	1000	10	4	661
ST	1000	10	4	654
ST	1000	10	4	654
ST	1000	10	4	639
ST	1000	10	4	662
ST	1000	10	4	656
ST	1000	10	4	651
ST	1000	10	4	658
ST	1000	10	4	638
ST	1000	10	4	653
ST	1000	10	4	646
ST	1000	10	4	653
ST	1000	10	4	656
ST	1000	10	4	637
ST	1000	10	4	648
ST	1000	10	4	650
ST	1000	10	4	656
ST	1000	10	4	661
ST	1000	10	4	656
ST	1000	10	4	650
ST	1000	10	4	655
ST	1000	10	4	656
ST	1000	10	4	653
ST	1000	10	4	652
ST	1000	10	4	661
ST	1000	10	4	641
ST	1000	10	4	651
ST	1000	10	4	654
ST	1000	10	4	652
ST	1000	10	4	658
ST	1000	10	4	634
ST	1000	10	4	642
ST	1000	10	4	650
ST	1000	10	4	651
ST	1000	10	4	653
ST	1000	10	4	651
